ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1001	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	2	4
1002	1	3	2	2	3	5	3	4	1	4	4	2	3	3	2	2	3	4	3	4
1003	4	4	2	2	2	4	2	5	2	5	2	2	4	2	1	3	2	5	3	1
1004	5	5	5	4	1	4	5	5	4	5	3	2	4	2	1	4	2	3	4	4
1005	2	4	5	3	5	5	3	3	3	4	4	4	3	2	3	3	1	2	3	3
1006	3	4	2	4	3	3	2	4	4	4	4	4	4	1	2	4	3	5	3	4
1007	5	4	2	4	3	3	2	4	3	4	3	4	4	2	1	5	5	4	5	4
1008	4	4	1	4	5	3	1	2	4	5	1	2	5	2	1	2	4	5	2	4
1009	4	4	1	3	2	3	2	2	1	3	2	3	5	2	2	4	2	1	3	4
1010	3	4	5	5	2	3	5	5	1	4	5	4	3	3	3	1	3	5	4	5
1011	5	5	3	4	4	4	2	3	3	4	2	2	4	1	1	3	2	2	3	4
1012	3	2	2	4	4	4	4	5	2	4	2	4	4	2	3	5	2	3	4	4
1013	3	4	1	4	4	2	1	5	2	5	4	2	2	1	1	5	1	1	3	4
1014	2	4	4	4	1	2	5	2	3	4	3	3	5	2	2	3	1	2	3	4
1015	3	2	4	4	5	3	2	3	3	2	3	2	3	3	3	3	1	2	2	3
1016	4	5	3	4	5	3	3	2	5	4	2	3	5	3	3	4	3	4	2	4
1017	4	4	3	5	2	4	2	3	2	5	4	4	3	2	2	3	2	1	2	3
1018	3	5	1	4	3	2	1	4	2	5	3	2	2	3	2	2	2	3	4	4
1019	1	3	2	4	2	2	2	2	2	4	3	2	2	1	2	2	1	2	2	1
1020	3	2	3	3	3	3	4	2	3	5	3	4	3	2	2	4	2	2	4	4
1021	2	3	4	4	5	3	2	3	3	5	4	4	3	1	2	3	1	3	1	3
1022	4	4	1	2	3	4	4	4	5	5	3	2	4	2	1	3	2	3	3	3
1023	2	2	1	3	4	2	1	2	3	3	1	1	3	1	2	3	3	3	2	1
1024	5	4	1	5	5	5	1	3	4	3	3	3	4	2	2	2	2	2	2	3
1025	5	5	3	5	5	5	1	5	5	5	2	3	4	3	2	5	3	5	5	3
1026	4	4	1	1	5	5	1	3	4	5	2	2	4	3	1	1	3	5	1	1
1027	4	4	1	3	2	3	1	2	3	4	2	3	3	4	1	1	2	3	4	2
1028	4	2	1	1	5	3	1	5	4	3	2	2	5	5	2	4	1	5	2	1
1029	5	4	2	2	2	3	2	4	3	4	3	2	3	3	4	4	2	3	2	3
1030	4	4	2	3	3	3	2	2	3	4	3	2	3	2	1	3	3	4	3	2
1031	4	4	3	4	4	3	2	4	2	5	4	3	4	1	2	5	3	4	4	4
1032	4	4	3	3	5	4	2	4	3	4	5	2	3	3	2	4	4	5	4	4
1033	4	4	2	2	1	4	1	2	3	4	2	1	5	4	1	4	1	4	2	2
1034	3	3	2	4	4	3	2	5	3	4	5	3	4	2	3	3	2	2	5	5
1035	5	5	5	5	5	5	4	5	4	4	5	5	5	5	5	4	4	5	5	5
1036	4	5	2	2	4	3	3	3	4	5	4	2	4	1	1	3	2	4	3	3
1037	4	5	2	3	3	4	2	2	3	5	1	3	4	3	1	3	5	4	4	1
1038	4	4	1	4	4	3	1	3	4	3	2	2	4	4	2	5	2	5	3	1
1039	4	4	3	4	5	3	2	1	2	5	1	2	4	2	1	3	1	2	3	3
1040	4	2	1	2	4	1	2	3	4	5	2	1	5	1	1	5	1	4	5	3
1041	1	2	1	1	3	1	4	5	1	4	3	4	2	3	2	4	3	3	3	2
1042	3	4	3	2	2	1	3	4	2	2	2	2	2	3	2	1	3	2	3	2
1043	3	3	3	1	4	5	2	4	5	5	3	3	3	4	1	5	2	3	5	1
1044	4	4	2	3	3	3	2	2	2	4	4	4	4	3	1	3	4	3	2	3
1045	4	4	1	3	3	4	2	2	2	5	3	3	4	3	2	3	3	5	2	1
1046	4	4	3	4	5	5	3	4	5	5	3	3	5	3	2	1	5	5	1	2
1047	4	4	2	3	4	3	1	2	2	3	2	2	4	1	1	1	2	2	2	2
1048	2	4	1	1	4	3	1	5	3	4	1	2	3	2	1	2	2	2	2	3
1049	2	4	5	4	3	4	5	1	2	2	4	3	4	2	5	4	3	5	4	3
